song_title,artist,rank_s,rank_t,rank_b,tempo
TOUT VA BIEN (feat. Ninho & Naps),"Alonzo, Ninho, Naps",183,,,99.937
Honest (feat. Don Toliver),"Justin Bieber, Don Toliver",29,,,150.002
We Cry Together,"Kendrick Lamar, Taylour Paige",22,,,106.89
Worldwide Steppers,Kendrick Lamar,20,,,77.215
Purple Hearts,"Kendrick Lamar, Summer Walker, Ghostface Killah",27,,,138.202
Rich - Interlude,Kendrick Lamar,41,,,91.589
Mr. Morale,"Kendrick Lamar, Tanna Leone",53,,,174.025
Crown,Kendrick Lamar,54,,,173.329
Auntie Diaries,Kendrick Lamar,61,,,127.544
Savior - Interlude,Kendrick Lamar,73,,,117.125
Mirror,Kendrick Lamar,76,,,91.933
Mother I Sober (feat. Beth Gibbons of Portishead),"Kendrick Lamar, Beth Gibbons",79,,,140.012
Stefania (Kalush Orchestra),KALUSH,109,,,104.985
The Heart Part 5,Kendrick Lamar,44,,,97.405
Churchill Downs (feat. Drake),"Jack Harlow, Drake",57,,,96.448
The Foundations of Decay,My Chemical Romance,140,,,150.15
This Love (Taylor’s Version),Taylor Swift,50,,,144.039
SloMo,Chanel,179,,,104.962
SPACE MAN,Sam Ryder,186,,,79.978
Money Trees,"Kendrick Lamar, Jay Rock",143,,,71.994
Brividi,"Mahmood, BLANCO",9,,,122.962
Cigarettes,Juice WRLD,27,,,160.014
Ginseng Strip 2002,Yung Lean,44,,,114.998
